subject_id,task_modality,grip_filename_task,beh_trials,other_modality,other_modality_grip_trials
BAP102,vis,Voddball,149,aud,90
BAP103,aud,Aoddball,120,vis,60
BAP104,vis,Voddball,149,aud,30
BAP107,aud,Aoddball,134,vis,30
BAP110,aud,Aoddball,146,vis,30
BAP114,aud,Aoddball,148,vis,30
BAP117,vis,Voddball,142,aud,30
BAP120,vis,Voddball,150,aud,90
BAP122,vis,Voddball,139,aud,30
BAP125,aud,Aoddball,147,vis,60
BAP129,vis,Voddball,150,aud,30
BAP132,vis,Voddball,120,aud,90
BAP133,vis,Voddball,149,aud,60
BAP135,aud,Aoddball,145,vis,30
BAP136,aud,Aoddball,141,vis,30
BAP139,vis,Voddball,140,aud,60
BAP140,vis,Voddball,148,aud,30
BAP145,aud,Aoddball,148,vis,30
BAP146,aud,Aoddball,143,vis,30
BAP147,vis,Voddball,150,aud,30
BAP149,aud,Aoddball,149,vis,20
BAP156,vis,Voddball,119,aud,30
BAP157,aud,Aoddball,146,vis,30
BAP165,vis,Voddball,146,aud,60
BAP169,aud,Aoddball,148,vis,60
BAP176,aud,Aoddball,131,vis,30
BAP180,vis,Voddball,148,aud,150
BAP194,aud,Aoddball,145,vis,60
